Year,Day,January,February,March,April,May,June,July,August,September,October,November,December
2010,1,Happy New Year 2010!,,Frederic Chopin's 200th Birthday,April Fool's Day 2010,Labour Day 2010,,Canada Day 2010,Swiss National Day 2010,First Day of School 2010,China National Day 2010,,55th Anniversary: Rosa Parks refuses to move
2010,2,,Doodle 4 Google 2010 - New Zealand Winner,Doodle 4 Google 2010 - Ireland Winner,Hans Christian Andersen's 205th Birthday,Mother's Day 2010 - Multiple Countries on Various Dates,Republic Day Italy 2010,,,Vietnam National Day 2010,,Day of the Dead 2010,UAE National Day 2010
2010,3,,Norman Rockwell's 106th Birthday - 1926 SEPS by Curtis Publishing,Girls Day 2010 - Japan,,,,,,,German Reunification Day 2010,,World Cup 2022 - Qatar
2010,4,Sir Isaac Newton's 367th Birthday,,Antonio Vivaldi's Birthday,,Umm Kalthum's Birthday,,4th of July 2010 and Rube Goldberg's Birthday,,25th Anniversary of Buckyball,,,
2010,5,,,,,Rocket Festival,Dennis Gabor´s 110th birthday - Holography support courtesy of th,,,,Nachum Gutman's 112th Birthday,,Thailand National Day 2010
2010,6,,Sami National Day 2010,Vasaloppet 2010,,U.K. Election Day,Sweden National Day 2010,Frida Kahlo's 103rd Birthday,Bolivia Independence Day 2010,Google Instant Launch,,,St. Nicolas Day 2010
2010,7,,,Alessandro Manzoni's Birthday,,Pyotr Ilyich Tchaikovsky's 170th Birthday,,Tanabata 2010,,Brazil Independence Day 2010,,,
2010,8,,,Women's Day 2010 - Russian,,,Robert Schumann's 200th Birthday,,,,César Milstein's 73rd Birthday,Discovery of X-rays,
2010,9,Karel Capek's 120th Birthday,Natsume Soseki's Birthday,,Vlasta Burian's Birthday,J.M. Barrie's 150th Birthday,Argentina Independence Day / Doodle for Google 2010 - Winner,,Singapore National Day 2010,,Hangul Proclamation Day 2010,,
2010,10,,,,,,,,Ecuador Independence Day 2010,1000th Anniversary of Yaroslavl,,,
2010,11,Coming of Age Day 2010,2010 Vancouver Olympic Games - Opening Ceremony (Asia),,,,Doodle 4 Google 2010 - South Africa Winner,,,,Cahit Arf's 100th Birthday,Veterans Day 2010,Alfred de Musset's Birthday
2010,12,,Carnival 2010,Arbor Day 2010,,,Russia Day 2010,,Mother's Day / Doodle 4 Google 2010 - Thailand Winner,Discovery of Grotte de Lascaux,Doodle 4 Google 2010 - South America Winner,Dr. Sun Yat-sen's Birthday,Kenya Independence Day 2010
2010,13,,Lunar New Year's Eve 2010,Holmenkollen Ski Festival 2010,,Children's Day' (Sweden - SE),Doodle 4 Google 2010 - Australia Winner,Naomi Shemer 80th Birthday,,,,Robert Louis Stevenson's 160th Birthday,
2010,14,Festival of Kites 2010,Valentine's Day / 2010 Vancouver Olympic Games - Pairs Skating,Felix Rodriguez de la Fuente's Birthday,,Paraguay Independence Day 2010,Doodle 4 Google 2010 - Netherlands Winner,Bastille Day 2010,,Akatsuka Fujio's 75th Birthday,,Birthday of Taha Hussein,
2010,15,Istanbul 2010 European Capital of Culture,2010 Vancouver Olympic Games - Cross Country Skiing,Hungarian National Day,Children's Day 2010 - Multiple Countries on Various Dates,Teachers' Day 2010 - Multiple Countries on Various Dates,,Josef Frank's 125th Birthday,National Liberation Day of Korea 2010,Doodle 4 Google 2010 - Mexico Winner,,,
2010,16,,2010 Vancouver Olympic Games - Curling,,Italian Culture Week,,Doodle 4 Google 2010 - Spain by Julia Egido Martínez,,Chinese Valentine's Day 2010,Mexico Independence Day 2010,Double Ninth Festival 2010,,Jane Austen's 235th Birthday
2010,17,,2010 Vancouver Olympic Games - Skiing,Happy St. Patrick's Day 2010,Karen Blixen's 125th Birthday,Martin Kukucin's 150th Birthday,,,Indonesia Independence Day - 2010,,,,
2010,18,Dr. Martin Luther King Day 2010,2010 Vancouver Olympic Games - Skeleton,,,,,,,Doodle 4 Google 2010 - Chile Winner,,Morocco Independence Day 2010,
2010,19,,2010 Vancouver Olympic Games - Ski Jump,,Feria de Abril,,,,Anniversary of Belka and Strelka Space Flight,,,,Edith Piaf's 95th Birthday
