DoodleDate,Doodle
9/1/2015,Google's New Logo
9/4/2015,Joan Aiken’s 91st Birthday
9/5/2015,Teacher's Day 2015 (India)
9/6/2015,"Father's Day 2015 (Australia, New Zealand)"
9/7/2015,Brazil's Independence Day 2015
9/8/2015,First Day of School 2015 (Canada)
9/9/2015,Children's Day 2015 (Costa Rica)
9/8/2015,Macedonia Independence Day 2015
9/9/2015,Tahia Halim’s 96th Birthday
9/10/2015,Google Gameday Doodle Kickoff
8/1/2015,Swiss National Day 2015
9/10/2015,Children's Day 2015 (Honduras)
8/5/2015,101st Anniversary of the First Electric Traffic Signal System
9/13/2015,Google Gameday Doodle #1
8/6/2015,Adoniran Barbosa’s 105th Birthday
8/8/2015,Latifa al-Zayyat’s 92nd Birthday
8/8/2015,229th Anniversary of the first ascent of Mont Blanc
9/11/2015,Singapore Elections 2015
8/8/2015,Father's Day 2015 (Taiwan)
9/13/2015,22nd anniversary of the official recognition of French traditional bread
8/9/2015,Doodle 4 Google 2015 — Singapore Winner
9/15/2015,Honduras National Day 2015
8/9/2015,Father's Day 2015 (Brazil)
9/15/2015,El Salvador National Day 2015
8/10/2015,Lee Tai-young’s 101st Birthday
8/11/2015,Gustavo Cerati’s 56th Birthday
9/15/2015,Guatemala National Day 2015
8/12/2015,Mother's Day 2015 (Thailand)
9/15/2015,Costa Rica National Day 2015
8/14/2015,Pakistan Independence Day 2015
8/15/2015,Mother's Day 2015 (Costa Rica)
9/15/2015,Nicaragua National Day 2015
8/16/2015,Children's Day 2015 (Argentina)
8/15/2015,India Independence Day 2015
8/15/2015,Korea Liberation Day 2015
8/17/2015,Indonesia Independence Day 2015
8/18/2015,Olga Cossettini’s 117th Birthday
8/18/2015,Russian Geographical Society's 170th anniversary
8/20/2015,Qixi Festival/Chilseok 2015
8/23/2015,Mundaneum co-founder Paul Otlet's 147th Birthday
8/24/2015,Duke Kahanamoku’s 125th Birthday
8/24/2015,Ukraine Independence Day 2015
8/27/2015,Halet Çambel’s 99th Birthday
8/26/2015,La Tomatina 70th Anniversary
8/31/2015,Start of the 2015 US Open Tennis Championship
8/31/2015,Malaysia Independence Day 2015
7/4/2015,Copa América 2015 - Finals
7/5/2015,Algeria National Day 2015
7/5/2015,Venezuela National Day 2015
7/5/2015,FIFA Women's World Cup 2015 Finals
7/6/2015,FIFA Women's World Cup 2015 Winner (US)
7/7/2015,Eiji Tsuburaya’s 114th Birthday
7/9/2015,Aiga Rasch’s 74th Birthday
7/9/2015,Argentina National Day 2015
7/12/2015,40th Anniversary of the National Monument of Indonesia
7/13/2015,Ehud Manor’s 74th Birthday
7/14/2015,Bastille Day 2015
